,Namn,Symbol,Valuta,ISIN,Sektor,ICB-kod,
0,Alleima,ALLEI.ST,SEK,SE0017615644,Basic Materials,5510,
1,Billerud,BILL.ST,SEK,SE0000862997,Basic Materials,5510,
2,Boliden,BOL.ST,SEK,SE0020050417,Basic Materials,5510,
3,Holmen A,HOLM-A.ST,SEK,SE0011090000,Basic Materials,5510,
4,Holmen B,HOLM-B.ST,SEK,SE0011090018,Basic Materials,5510,
5,HEXPOL B,HPOL-B.ST,SEK,SE0007074281,Basic Materials,5510,
6,Lundin Gold,LUG.ST,SEK,CA5503711080,Basic Materials,5510,
7,Lundin Mining Corporation,LUMI.ST,SEK,CA5503721063,Basic Materials,5510,
8,SCA A,SCA-A.ST,SEK,SE0000171886,Basic Materials,5510,
9,SCA B,SCA-B.ST,SEK,SE0000112724,Basic Materials,5510,
10,SKF A,SKF-A.ST,SEK,SE0000108201,Basic Materials,5510,
11,SKF B,SKF-B.ST,SEK,SE0000108227,Basic Materials,5510,
12,SSAB A,SSAB-A.ST,SEK,SE0000171100,Basic Materials,5510,
13,SSAB B,SSAB-B.ST,SEK,SE0000120669,Basic Materials,5510,
14,Stora Enso A,STE-A.ST,SEK,FI0009007603,Basic Materials,5510,
15,Stora Enso R,STE-R.ST,SEK,FI0009007611,Basic Materials,5510,
16,Troax Group,TROAX.ST,SEK,SE0012729366,Basic Materials,5510,
17,Arctic Paper,ARP.ST,SEK,PLARTPR00012,Basic Materials,5510,
18,Beijer Alma B,BEIA-B.ST,SEK,SE0011090547,Basic Materials,5510,
19,Lucara Diamond Corp,LUC.ST,SEK,CA54928Q1081,Basic Materials,5510,
20,Nordisk Bergteknik B,NORB-B.ST,SEK,SE0015812128,Basic Materials,5510,
21,Nordic Paper Holding,NPAPER.ST,SEK,SE0014808838,Basic Materials,5510,
22,Rottneros,RROS.ST,SEK,SE0000112252,Basic Materials,5510,
23,BE Group,BEGR.ST,SEK,SE0008321921,Basic Materials,5510,
24,Bergs Timber B,BRG-B.ST,SEK,SE0018012932,Basic Materials,5510,
25,Duroc B,DURC-B.ST,SEK,SE0000331266,Basic Materials,5510,
26,Profilgruppen B,PROF-B.ST,SEK,SE0000393860,Basic Materials,5510,
27,AAK,AAK.ST,SEK,SE0011337708,Consumer Goods,4510,
28,Axfood,AXFO.ST,SEK,SE0006993770,Consumer Goods,4520,
29,Essity A,ESSITY-A.ST,SEK,SE0009922156,Consumer Goods,4520,
30,Essity B,ESSITY-B.ST,SEK,SE0009922164,Consumer Goods,4520,
31,Cloetta B,CLA-B.ST,SEK,SE0002626861,Consumer Goods,4510,
32,Duni,DUNI.ST,SEK,SE0000616716,Consumer Goods,4520,
33,Scandi Standard,SCST.ST,SEK,SE0005999760,Consumer Goods,4510,
34,Midsona A,MSON-A.ST,SEK,SE0000565210,Consumer Goods,4520,
35,Midsona B,MSON-B.ST,SEK,SE0000565228,Consumer Goods,4520,
36,Autoliv SDB,ALIV-SDB.ST,SEK,SE0000382335,Consumer Services,4010,
37,Bilia A,BILI-A.ST,SEK,SE0009921588,Consumer Services,4040,
38,Boozt,BOOZT.ST,SEK,SE0009888738,Consumer Services,4040,
39,Dometic Group,DOM.ST,SEK,SE0007691613,Consumer Services,4020,
40,Electrolux A,ELUX-A.ST,SEK,SE0016589170,Consumer Services,4020,
41,Electrolux B,ELUX-B.ST,SEK,SE0016589188,Consumer Services,4020,
42,Embracer Group B,EMBRAC-B.ST,SEK,SE0016828511,Consumer Services,4020,
